disruption_id,date_key,station_id,line_group,started_at,ended_at,disruption_reason,owner_group,service_impact,delay_minutes,passengers_estimated_impacted
DIS00204,20251231,ST008,Red,2025-12-31 13:48:00,2025-12-31 14:20:00,Staff shortage,Operations,Minor delay,32,920
DIS00205,20260103,ST007,Red,2026-01-03 13:05:00,2026-01-03 13:32:00,Planned engineering overrun,Engineering,Minor delay,27,473
DIS00206,20260106,ST006,Silver,2026-01-06 09:39:00,2026-01-06 10:24:00,Rolling stock fault,Fleet,Minor delay,45,827
DIS00207,20260107,ST001,Blue / Red,2026-01-07 05:13:00,2026-01-07 06:19:00,Police attendance,External,Minor delay,66,3689
DIS00208,20260108,ST001,Blue / Red,2026-01-08 16:09:00,2026-01-08 17:34:00,Planned engineering overrun,Engineering,Minor delay,85,3611
DIS00209,20260108,ST005,Green,2026-01-08 13:28:00,2026-01-08 14:39:00,Track obstruction,Infrastructure,Severe delay,71,735
DIS00210,20260108,ST013,Silver,2026-01-08 20:12:00,2026-01-08 21:22:00,Planned engineering overrun,Engineering,Minor delay,70,919
DIS00211,20260110,ST007,Red,2026-01-10 14:39:00,2026-01-10 17:43:00,Severe weather,Weather,Severe delay,184,2679
DIS00212,20260114,ST003,Green / Red,2026-01-14 16:10:00,2026-01-14 17:04:00,Police attendance,External,Severe delay,54,1203
DIS00213,20260114,ST004,Green,2026-01-14 18:45:00,2026-01-14 19:33:00,Severe weather,Weather,Minor delay,48,803
DIS00214,20260114,ST007,Red,2026-01-14 22:35:00,2026-01-14 22:43:00,Severe weather,Weather,Moderate delay,8,189
DIS00215,20260115,ST005,Green,2026-01-15 11:02:00,2026-01-15 11:10:00,Power supply restriction,Infrastructure,Partial closure,8,66
DIS00216,20260116,ST008,Red,2026-01-16 11:14:00,2026-01-16 12:53:00,Power supply restriction,Infrastructure,Severe delay,99,1618
DIS00217,20260124,ST006,Silver,2026-01-24 09:18:00,2026-01-24 09:43:00,Police attendance,External,Severe delay,25,574
DIS00218,20260124,ST008,Red,2026-01-24 05:34:00,2026-01-24 07:12:00,Signal failure,Infrastructure,Minor delay,98,1582
DIS00219,20260129,ST005,Green,2026-01-29 22:34:00,2026-01-29 22:42:00,Power supply restriction,Infrastructure,Partial closure,8,104
DIS00220,20260130,ST016,Green,2026-01-30 14:10:00,2026-01-30 14:41:00,Signal failure,Infrastructure,Moderate delay,31,329
DIS00221,20260203,ST008,Red,2026-02-03 18:07:00,2026-02-03 18:15:00,Track obstruction,Infrastructure,Minor delay,8,128
DIS00222,20260206,ST003,Green / Red,2026-02-06 06:45:00,2026-02-06 13:47:00,Signal failure,Infrastructure,Partial closure,422,13576
DIS00223,20260207,ST002,Blue,2026-02-07 21:21:00,2026-02-07 22:04:00,Track obstruction,Infrastructure,Minor delay,43,1185
DIS00224,20260208,ST010,Blue / Gold,2026-02-08 11:06:00,2026-02-08 12:37:00,Police attendance,External,Moderate delay,91,4952
DIS00225,20260211,ST008,Red,2026-02-11 16:25:00,2026-02-11 16:33:00,Staff shortage,Operations,Minor delay,8,170
DIS00226,20260213,ST004,Green,2026-02-13 21:51:00,2026-02-13 23:14:00,Track obstruction,Infrastructure,Severe delay,83,1404
DIS00227,20260218,ST007,Red,2026-02-18 19:31:00,2026-02-18 20:41:00,Severe weather,Weather,Severe delay,70,1046
DIS00228,20260220,ST008,Red,2026-02-20 15:54:00,2026-02-20 16:31:00,Severe weather,Weather,Minor delay,37,604
DIS00229,20260221,ST007,Red,2026-02-21 18:27:00,2026-02-21 18:47:00,Staff shortage,Operations,Minor delay,20,356
DIS00230,20260222,ST015,Silver,2026-02-22 20:23:00,2026-02-22 20:40:00,Rolling stock fault,Fleet,Minor delay,17,251
DIS00231,20260227,ST009,Blue,2026-02-27 09:36:00,2026-02-27 09:59:00,Power supply restriction,Infrastructure,Severe delay,23,438
DIS00232,20260227,ST002,Blue,2026-02-27 18:04:00,2026-02-27 19:45:00,Planned engineering overrun,Engineering,Severe delay,101,4325
DIS00233,20260302,ST004,Green,2026-03-02 11:21:00,2026-03-02 12:07:00,Police attendance,External,Severe delay,46,603
DIS00234,20260302,ST012,Gold,2026-03-02 06:56:00,2026-03-02 07:59:00,Severe weather,Weather,Severe delay,63,632
DIS00235,20260302,ST007,Red,2026-03-02 17:24:00,2026-03-02 18:42:00,Severe weather,Weather,Severe delay,78,1808
DIS00236,20260306,ST010,Blue / Gold,2026-03-06 17:46:00,2026-03-06 18:03:00,Power supply restriction,Infrastructure,Severe delay,17,470
DIS00237,20260306,ST002,Blue,2026-03-06 07:00:00,2026-03-06 08:06:00,Staff shortage,Operations,Moderate delay,66,1975
DIS00238,20260307,ST010,Blue / Gold,2026-03-07 14:13:00,2026-03-07 15:40:00,Power supply restriction,Infrastructure,Moderate delay,87,2739
DIS00239,20260309,ST006,Silver,2026-03-09 08:41:00,2026-03-09 09:35:00,Power supply restriction,Infrastructure,Moderate delay,54,1698
DIS00240,20260311,ST004,Green,2026-03-11 06:16:00,2026-03-11 07:25:00,Track obstruction,Infrastructure,Moderate delay,69,867
DIS00241,20260312,ST005,Green,2026-03-12 18:44:00,2026-03-12 19:43:00,Track obstruction,Infrastructure,Partial closure,59,432
DIS00242,20260314,ST004,Green,2026-03-14 20:06:00,2026-03-15 00:23:00,Track obstruction,Infrastructure,Moderate delay,257,3240
DIS00243,20260324,ST012,Gold,2026-03-24 06:02:00,2026-03-24 06:57:00,Rolling stock fault,Fleet,Moderate delay,55,364
DIS00244,20260326,ST013,Silver,2026-03-26 11:14:00,2026-03-26 12:06:00,Staff shortage,Operations,Severe delay,52,681
DIS00245,20260331,ST009,Blue,2026-03-31 21:38:00,2026-03-31 23:07:00,Track obstruction,Infrastructure,Partial closure,89,1367
DIS00246,20260402,ST015,Silver,2026-04-02 22:05:00,2026-04-02 23:15:00,Planned engineering overrun,Engineering,Minor delay,70,987
DIS00247,20260403,ST009,Blue,2026-04-03 19:41:00,2026-04-03 21:49:00,Police attendance,External,Minor delay,128,3324
DIS00248,20260403,ST001,Blue / Red,2026-04-03 18:21:00,2026-04-03 18:37:00,Track obstruction,Infrastructure,Minor delay,16,660
DIS00249,20260404,ST016,Green,2026-04-04 18:46:00,2026-04-04 19:06:00,Rolling stock fault,Fleet,Minor delay,20,140
DIS00250,20260405,ST014,Gold,2026-04-05 21:46:00,2026-04-05 23:05:00,Police attendance,External,Minor delay,79,925
DIS00251,20260405,ST014,Gold,2026-04-05 12:53:00,2026-04-05 16:46:00,Planned engineering overrun,Engineering,Moderate delay,233,2809
DIS00252,20260409,ST016,Green,2026-04-09 10:39:00,2026-04-09 10:47:00,Police attendance,External,Minor delay,8,85
DIS00253,20260409,ST015,Silver,2026-04-09 16:53:00,2026-04-09 17:09:00,Power supply restriction,Infrastructure,Minor delay,16,230
DIS00254,20260410,ST014,Gold,2026-04-10 10:13:00,2026-04-10 11:08:00,Rolling stock fault,Fleet,Moderate delay,55,743
DIS00255,20260413,ST006,Silver,2026-04-13 10:54:00,2026-04-13 11:02:00,Signal failure,Infrastructure,Severe delay,8,208
DIS00256,20260416,ST012,Gold,2026-04-16 16:27:00,2026-04-16 17:58:00,Police attendance,External,Minor delay,91,574
DIS00257,20260416,ST006,Silver,2026-04-16 10:08:00,2026-04-16 10:50:00,Signal failure,Infrastructure,Minor delay,42,843
DIS00258,20260418,ST001,Blue / Red,2026-04-18 15:52:00,2026-04-18 20:46:00,Track obstruction,Infrastructure,Partial closure,294,15077
DIS00259,20260420,ST007,Red,2026-04-20 09:47:00,2026-04-20 11:36:00,Police attendance,External,Moderate delay,109,2210
DIS00260,20260422,ST006,Silver,2026-04-22 22:14:00,2026-04-23 02:17:00,Rolling stock fault,Fleet,Minor delay,243,4735
DIS00261,20260424,ST012,Gold,2026-04-24 17:18:00,2026-04-24 17:26:00,Signal failure,Infrastructure,Minor delay,8,62
DIS00262,20260425,ST001,Blue / Red,2026-04-25 07:13:00,2026-04-25 08:32:00,Planned engineering overrun,Engineering,Severe delay,79,2948
DIS00263,20260425,ST008,Red,2026-04-25 16:48:00,2026-04-25 17:05:00,Police attendance,External,Moderate delay,17,489
DIS00264,20260425,ST015,Silver,2026-04-25 07:27:00,2026-04-25 07:56:00,Police attendance,External,Moderate delay,29,345
DIS00265,20260426,ST013,Silver,2026-04-26 20:49:00,2026-04-26 21:54:00,Severe weather,Weather,Moderate delay,65,1222
DIS00266,20260426,ST010,Blue / Gold,2026-04-26 11:02:00,2026-04-26 11:57:00,Planned engineering overrun,Engineering,Severe delay,55,1974
DIS00267,20260427,ST004,Green,2026-04-27 14:51:00,2026-04-27 15:05:00,Staff shortage,Operations,Minor delay,14,236
